timestamp,actual_load_mw,p10,p50,p90,forecast_peak_flag
2026-04-05 23:00:00,3825.893333333333,3247.394,3760.8699,4273.671,False
2026-04-05 23:15:00,3832.4966666666655,3251.4233,3772.0593,4283.9893,False
2026-04-05 23:30:00,3852.466666666666,3236.996,3762.7861,4262.1606,False
2026-04-05 23:45:00,3854.946666666666,3246.7083,3767.096,4257.0923,False
2026-04-06 00:00:00,3895.306666666667,3246.7124,3764.81,4250.667,False
2026-04-06 00:15:00,3918.47,3247.359,3755.7183,4236.425,False
2026-04-06 00:30:00,3984.3333333333335,3237.8347,3724.2366,4176.914,False
2026-04-06 00:45:00,3976.853333333333,3238.93,3718.665,4169.165,False
2026-04-06 01:00:00,3985.85,3234.5376,3708.071,4156.5493,False
2026-04-06 01:15:00,3955.7666666666655,3236.1013,3697.7139,4140.7603,False
2026-04-06 01:30:00,3913.163333333333,3199.21,3645.043,4070.81,False
2026-04-06 01:45:00,3910.883333333333,3208.3354,3638.947,4054.465,False
2026-04-06 02:00:00,3859.31,3211.4175,3632.1902,4040.7952,False
2026-04-06 02:15:00,3812.293333333333,3223.286,3632.9343,4034.3896,False
2026-04-06 02:30:00,3792.396666666667,3210.6118,3605.7856,3998.0537,False
2026-04-06 02:45:00,3779.37,3229.8445,3615.7632,4000.1973,False
2026-04-06 03:00:00,3747.176666666666,3236.7007,3618.2993,3998.2458,False
2026-04-06 03:15:00,3741.703333333333,3248.825,3624.2224,3999.1934,False
2026-04-06 03:30:00,3710.656666666667,3237.4841,3607.689,3983.3787,False
2026-04-06 03:45:00,3672.5633333333335,3264.8428,3619.4368,3975.7524,False
2026-04-06 04:00:00,3636.45,3288.9753,3634.4644,3983.7375,False
2026-04-06 04:15:00,3586.7166666666667,3312.8218,3674.0906,4042.7576,False
2026-04-06 04:30:00,3583.873333333333,3285.7378,3703.8877,4140.0474,False
2026-04-06 04:45:00,3529.866666666667,3278.251,3700.5178,4142.597,False
2026-04-06 05:00:00,3508.78,3245.2935,3676.0295,4126.0273,False
2026-04-06 05:15:00,3469.97,3216.6821,3655.9985,4116.185,False
2026-04-06 05:30:00,3406.976666666667,3027.3135,3610.428,4146.875,False
2026-04-06 05:45:00,3350.8266666666664,2918.2578,3581.659,4189.8696,False
2026-04-06 06:00:00,3294.226666666667,2761.7578,3527.8113,4220.133,False
2026-04-06 06:15:00,3262.6733333333336,2595.0898,3468.866,4245.937,False
2026-04-06 06:30:00,3222.47,2282.0186,3342.4148,4234.671,False
2026-04-06 06:45:00,3194.383333333333,2160.925,3271.3726,4192.5444,False
2026-04-06 07:00:00,3174.0333333333333,2073.0203,3206.1648,4133.3667,False
2026-04-06 07:15:00,3146.583333333333,2017.5768,3156.5977,4082.519,False
2026-04-06 07:30:00,3127.9300000000003,1949.6199,3095.6445,4012.9426,False
2026-04-06 07:45:00,3100.4133333333334,1923.9526,3059.7085,3972.9026,False
2026-04-06 08:00:00,3077.0066666666667,1906.038,3026.3774,3929.61,False
2026-04-06 08:15:00,3063.726666666667,1888.6807,2994.8882,3888.409,False
2026-04-06 08:30:00,3049.0399999999995,1864.2803,2957.0728,3835.634,False
2026-04-06 08:45:00,3033.4233333333336,1838.1755,2923.6545,3793.6294,False
2026-04-06 09:00:00,3023.816666666667,1813.7925,2889.8691,3748.334,False
2026-04-06 09:15:00,3011.19,1779.8369,2850.859,3698.754,False
2026-04-06 09:30:00,3009.25,1748.7964,2820.3877,3663.762,False
2026-04-06 09:45:00,2993.2966666666666,1691.7073,2772.4863,3613.4841,False
2026-04-06 10:00:00,2985.393333333333,1643.3315,2731.2227,3569.6409,False
2026-04-06 10:15:00,3004.276666666666,1592.2366,2688.9263,3524.6091,False
2026-04-06 10:30:00,3052.65,1677.3318,2730.5205,3551.666,False
2026-04-06 10:45:00,3124.1,1659.0107,2704.192,3516.0588,False
2026-04-06 11:00:00,3187.396666666667,1652.9973,2689.167,3491.5632,False
2026-04-06 11:15:00,3284.9033333333336,1648.9224,2673.5781,3463.9646,False
2026-04-06 11:30:00,3393.896666666666,1933.2445,2815.2744,3553.1938,False
2026-04-06 11:45:00,3525.01,1988.9203,2820.9282,3528.6448,False
2026-04-06 12:00:00,3638.203333333333,2062.1538,2834.5903,3512.477,False
2026-04-06 12:15:00,3695.3,2130.3037,2845.2112,3497.199,False
2026-04-06 12:30:00,3707.26,2366.7925,2973.8855,3586.1228,False
2026-04-06 12:45:00,3732.2466666666655,2387.6938,2972.0217,3579.266,False
2026-04-06 13:00:00,3728.426666666666,2409.4058,2978.6064,3584.1558,False
2026-04-06 13:15:00,3720.043333333333,2425.0237,2985.7231,3590.601,False
2026-04-06 13:30:00,3722.6366666666654,2553.8274,3088.1362,3681.259,False
2026-04-06 13:45:00,3753.85,2592.775,3120.8994,3710.5935,False
2026-04-06 14:00:00,3727.906666666667,2642.8462,3167.622,3755.3857,False
2026-04-06 14:15:00,3726.99,2689.1348,3213.5857,3800.789,False
2026-04-06 14:30:00,3827.27,2808.6172,3328.5742,3911.149,False
2026-04-06 14:45:00,3945.63,2869.1707,3391.9675,3977.6313,False
2026-04-06 15:00:00,4004.89,2948.9458,3473.7146,4063.9575,False
2026-04-06 15:15:00,4091.0866666666666,3054.1033,3569.6367,4156.4004,False
2026-04-06 15:30:00,4145.983333333334,3204.2632,3712.4165,4297.522,False
2026-04-06 15:45:00,4163.106666666667,3302.0042,3792.7156,4362.5195,False
2026-04-06 16:00:00,4215.733333333334,3378.2148,3861.6047,4424.0654,False
2026-04-06 16:15:00,4197.5,3434.3184,3914.9785,4473.187,False
2026-04-06 16:30:00,4257.2,3480.8362,3990.791,4581.6504,False
2026-04-06 16:45:00,4237.8966666666665,3515.6934,4021.602,4605.713,False
2026-04-06 17:00:00,4238.003333333333,3546.0737,4053.5513,4636.806,False
2026-04-06 17:15:00,4208.18,3570.6316,4080.9858,4665.273,False
2026-04-06 17:30:00,4210.76,3427.8044,4048.825,4761.7485,False
2026-04-06 17:45:00,4169.886666666666,3355.019,3995.6804,4726.4883,False
2026-04-06 18:00:00,4127.703333333334,3300.2515,3948.9495,4683.736,False
2026-04-06 18:15:00,4061.85,3260.4646,3909.5034,4639.1597,False
2026-04-06 18:30:00,3915.286666666667,3197.711,3869.9783,4621.319,False
2026-04-06 18:45:00,3863.693333333333,3149.746,3827.6106,4575.4746,False
2026-04-06 19:00:00,3831.493333333333,3101.4302,3792.1804,4545.5913,False
2026-04-06 19:15:00,3887.13,3051.8223,3755.7715,4516.12,False
2026-04-06 19:30:00,3911.1,2998.4111,3737.9858,4530.954,False
2026-04-06 19:45:00,3999.676666666666,2952.4722,3713.3325,4523.5044,False
2026-04-06 20:00:00,4145.166666666667,2924.5269,3705.1187,4533.711,False
2026-04-06 20:15:00,4195.68,2904.2454,3701.981,4547.625,False
2026-04-06 20:30:00,4210.006666666667,2887.6438,3705.7258,4567.949,False
2026-04-06 20:45:00,4219.433333333333,2875.8003,3705.8572,4577.4106,False
2026-04-06 21:00:00,4230.05,2866.8018,3705.3,4582.179,False
2026-04-06 21:15:00,4229.7,2855.5723,3697.9258,4574.6274,False
2026-04-06 21:30:00,4211.599999999999,2830.9224,3671.3977,4531.191,False
2026-04-06 21:45:00,4247.643333333333,2794.6274,3634.3005,4474.9375,False
2026-04-06 22:00:00,4212.803333333333,2754.8335,3596.2236,4415.8184,False
2026-04-06 22:15:00,4214.56,2714.8203,3556.1333,4352.708,False
2026-04-06 22:30:00,4229.95,2661.6548,3498.2632,4255.625,False
2026-04-06 22:45:00,4248.13,2652.3896,3478.4688,4219.603,False
2026-04-06 23:00:00,4240.669999999999,2647.5813,3462.142,4187.689,False
2026-04-06 23:15:00,4224.83,2646.0764,3445.5852,4153.6885,False
2026-04-06 23:30:00,4213.86,2631.4897,3411.2886,4082.27,False
2026-04-06 23:45:00,4221.483333333334,2634.5273,3412.1792,4078.0715,False
2026-04-07 00:00:00,4250.38,2646.151,3400.2305,4073.6003,False
2026-04-07 00:15:00,4291.150000000001,2647.6738,3395.458,4057.1772,False
2026-04-07 00:30:00,4321.863333333334,2629.955,3377.7546,4018.0735,False
2026-04-07 00:45:00,4287.276666666668,2641.3877,3376.5217,4005.899,False
2026-04-07 01:00:00,4265.47,2647.3716,3374.1306,3993.8948,False
2026-04-07 01:15:00,4238.106666666667,2666.1934,3378.5037,3987.3958,False
2026-04-07 01:30:00,4159.13,2636.3916,3355.2334,3958.9175,False
2026-04-07 01:45:00,4128.413333333333,2652.3687,3356.8726,3949.986,False
2026-04-07 02:00:00,4076.973333333333,2654.8079,3353.4568,3941.665,False
2026-04-07 02:15:00,3986.133333333333,2669.021,3357.6294,3940.9697,False
2026-04-07 02:30:00,3943.0766666666655,2637.541,3337.975,3928.2952,False
2026-04-07 02:45:00,3878.5833333333335,2666.6035,3361.874,3952.9097,False
2026-04-07 03:00:00,3879.143333333333,2685.4497,3379.834,3973.3787,False
2026-04-07 03:15:00,3849.5633333333335,2720.136,3404.3835,3996.312,False
2026-04-07 03:30:00,3793.8433333333337,2717.8755,3411.615,4011.9045,False
2026-04-07 03:45:00,3757.37,2764.3374,3452.2698,4051.2898,False
2026-04-07 04:00:00,3738.056666666667,2783.1384,3478.7969,4081.884,False
2026-04-07 04:15:00,3706.3433333333337,2805.85,3505.4868,4111.2534,False
2026-04-07 04:30:00,3651.566666666667,2742.2222,3509.18,4154.0225,False
2026-04-07 04:45:00,3613.52,2741.5942,3543.2595,4211.423,False
2026-04-07 05:00:00,3578.7833333333333,2703.7332,3555.493,4251.4404,False
2026-04-07 05:15:00,3543.3866666666668,2663.5176,3559.4106,4282.634,False
